region_area_,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
region_area_1083,7.71408936,245.5121728,27337.26743,7.326546444,322.8180694,357.9342033,10.74678919,63.83793291,3.182582857,1
region_area_1084,8.154531511,218.8728261,21361.50186,5.894033359,,429.278312,12.40766857,60.00236706,2.460464867,1
region_area_1085,,240.9930583,23095.1772,6.177175089,299.1012703,424.9941303,13.56679443,51.01023315,2.9770474,1
region_area_1086,7.845879929,244.5588905,13770.16505,8.702350579,344.3659363,520.410603,13.87280176,99.29059467,3.667154205,1
region_area_1088,5.694694238,291.4860728,7998.979322,7.819454807,,487.1528068,15.56430696,69.01060275,3.8706108,1
region_area_109,8.419970682,236.4928795,13238.29442,3.69345522,308.887752,473.7522774,17.31456506,48.89811166,3.962478314,0
region_area_1091,,251.0891264,19947.73929,7.07342526,337.9765817,305.8620532,14.13899501,29.78314213,4.387208418,1
region_area_1092,,255.9021942,17538.29443,7.720995488,396.8370305,328.6416329,13.96545341,93.82987616,2.999702321,1
region_area_1094,7.741245059,269.0110772,22825.00428,8.391668213,364.7378609,531.1212606,15.4156314,73.83807012,3.741143366,1
region_area_1095,4.187490815,259.1480788,21810.01464,5.54130142,328.2193162,274.6130825,11.34014423,46.79759729,4.592959344,1
region_area_1096,,192.9194562,45141.99085,5.725829339,240.9436179,379.385429,20.71055207,70.28338922,4.604724796,1
region_area_1097,7.808012212,230.5738073,17038.03018,6.073553872,348.8166237,600.1655459,12.19749934,81.70736188,4.165549906,1
region_area_11,7.974521649,269.4671912,18767.96149,7.80557388,,374.2032305,14.6307457,76.60091118,4.011718108,0
region_area_1100,,263.8150821,12036.94785,9.489919614,349.9165078,294.1229948,12.5249055,74.78938321,3.89891586,1
region_area_1101,9.489600966,218.6615194,40032.71882,8.044396173,,364.8957412,14.27331424,102.6828462,4.300694899,1
region_area_1102,7.457979827,234.2352002,14733.76357,7.170462743,336.4131588,492.7421798,9.068253883,82.69633835,4.497730796,1
region_area_1103,7.992320364,280.9534641,17076.9686,9.29393166,,532.993054,14.55418097,68.7557682,4.342796788,1
region_area_1104,7.746343115,263.0485355,21670.89847,8.153292095,362.1264383,467.1191209,21.5352933,43.30380258,3.678686031,1
region_area_1105,8.27579563,214.1298515,22014.26972,5.438018313,308.412236,361.736315,20.16261944,78.61649245,4.72133955,1
region_area_1106,6.879959452,214.36723,44587.11746,2.436901496,219.8940479,564.1501045,16.62694196,67.64826015,5.688206949,1
region_area_1108,8.167767663,195.6768224,36185.98335,4.240709516,298.7053431,615.5638934,20.32707487,,3.41068554,1
region_area_1109,,265.431222,19692.7692,5.642578996,326.9208219,395.9328293,15.66845966,77.94903618,3.261651399,1
region_area_111,7.875895135,277.0586785,12710.55426,6.998315962,347.1483713,455.4791474,6.168461913,63.24304403,4.238589203,0
region_area_1112,6.578998162,249.1831378,22389.6853,7.012764564,369.8422266,418.3000145,6.164608221,105.5154604,3.690929417,1
region_area_1113,8.775485734,208.1281799,22113.69626,7.626692096,305.5529586,490.8202078,15.79783855,83.04434548,4.393944466,1
region_area_1114,6.850302032,218.7589304,40588.73864,3.067558633,266.1762338,310.516744,16.11020675,72.47821679,3.08029671,1
region_area_1115,8.757110512,236.1932576,31041.1893,8.239953038,,418.2007972,18.3402202,72.41466228,3.80879301,1
region_area_1116,,263.7741082,21687.77826,6.596230146,,393.8528834,11.89824634,57.460645,3.242545448,1
region_area_1117,,228.9287462,34383.90245,6.120959416,312.2720034,580.4837653,17.69712637,69.10774058,4.005892992,1
region_area_1118,8.073278952,242.5894142,17106.74346,7.593920979,334.2227051,443.0037489,13.44038104,54.33128416,4.854312786,1
region_area_1119,5.078274175,235.8622756,18125.94321,3.800955701,275.800755,538.2612512,11.43044664,80.45333076,3.631042314,1
region_area_112,7.725332908,303.0393819,36478.04292,8.081950387,427.2887029,349.5163267,17.59084425,60.59888466,3.724836704,0
region_area_1120,7.444914015,253.8426363,25489.37984,7.870933581,414.3054912,415.5256121,13.3881001,74.52786716,2.571391506,1
region_area_1121,9.434005875,209.1617307,20475.12563,5.552522508,286.1402255,486.9470108,14.49334959,73.27977755,4.201054364,1
region_area_1123,5.803496976,243.974882,19452.07241,3.841790497,256.7218587,375.582618,15.02561556,8.692012933,2.181714167,1
region_area_1124,7.617151922,233.4637156,33744.47162,5.921122435,370.298071,337.3332451,14.17059734,82.89692571,3.422543431,1
region_area_1125,9.008464334,199.3878925,35022.07891,5.289195927,,397.5047714,11.96010295,49.5954408,3.911014707,1
region_area_1126,5.422445768,256.0399711,18543.26226,5.187152052,307.4473399,392.1851288,10.60902321,67.60845,2.91175139,1
region_area_1127,9.778181813,206.7113321,23335.97902,7.361298109,,366.6480368,10.92960037,75.44389227,4.143365319,1
region_area_1128,5.204938763,283.6566161,17818.6993,6.995454406,,414.108888,12.97141996,55.61333107,3.439561019,1
region_area_1129,4.872560878,275.4789958,16960.73944,6.773204268,323.7819652,364.4956043,15.79717561,80.07780267,3.918005799,1
region_area_113,3.388090611,262.8028351,20230.43039,8.264970909,349.9011119,364.0179274,18.31333967,82.50287399,2.798600948,0
region_area_1130,7.793914804,215.7328382,25507.21705,7.563225354,359.0043131,408.5653116,15.40249572,,4.220027671,1
region_area_1133,7.890354274,230.9319887,32160.83873,7.468673465,361.0290966,354.6556193,11.35146038,60.40718733,3.209588058,1
region_area_1134,7.535700191,272.5663716,14830.05078,6.396348725,367.1573131,593.5414875,17.83688235,59.80107582,4.208354354,1
region_area_1137,8.722143777,202.3950227,28301.82176,3.347150718,248.8398721,478.4724514,15.25617258,79.65336758,3.274628642,1
region_area_1138,8.352635176,185.5244028,33662.69386,4.13498063,,407.2199717,14.52588194,55.70181501,3.939011353,1
region_area_114,6.745306715,269.1985277,21872.14351,6.860698571,,383.1551016,16.93161946,74.20107997,3.90235259,0
region_area_1140,,246.3283192,28415.48916,7.184968749,319.2603837,504.5095106,15.12896166,47.25914365,4.052367138,1
region_area_1141,9.30566048,214.6999172,39498.9641,6.609874682,326.618247,355.7619351,12.81718695,62.58611474,4.485070147,1
region_area_1142,4.923178856,259.1805636,15990.45404,5.343335096,350.4002882,414.5107627,11.50837222,84.64077496,3.329600783,1
region_area_1143,6.14301848,198.2458634,34865.62944,3.379652043,286.200215,485.5502677,21.04435933,54.31352017,5.37040341,1
region_area_1144,5.744504157,258.8439425,19457.94429,6.389138758,,372.1674898,15.70872925,82.43285396,3.53350015,1
region_area_1145,6.616649175,252.5547379,17063.47692,8.048563011,361.3574229,501.8290649,10.45899456,60.12418382,3.881767178,1
region_area_1149,,227.5538372,24793.76049,6.089531813,313.1042607,387.1712857,10.17519192,50.23912226,4.641041336,1
region_area_1150,5.579517093,274.3902837,13289.50646,7.393879458,369.6421472,385.3809695,20.32942581,104.6958815,4.043914693,1
region_area_1151,4.303574607,277.7809765,7323.607111,7.185697788,327.4403117,423.0014036,13.01173002,68.86391759,2.010537157,1
region_area_1152,7.310715696,236.5910311,21990.07225,8.132704349,,435.637861,15.05281096,89.88915975,3.57882634,1
region_area_1153,6.417702476,236.0860739,33360.47553,5.269038133,375.4589681,519.9246527,17.95399443,103.4368269,4.046305672,1
region_area_1154,,232.0757646,23615.00777,5.150182912,283.0567539,521.0496258,14.08360817,52.41654965,3.89406116,1
region_area_1155,10.77431809,213.8689965,38037.65789,7.29738637,350.7453489,487.8283747,13.63152199,,3.229834159,1
region_area_1162,11.24450714,220.1775454,43533.96266,5.583649377,341.7747128,346.5516548,16.19471042,59.60902634,2.929952739,1
region_area_1163,5.728823779,247.9657301,12932.8952,5.379681607,281.6771767,455.1746363,14.28150116,68.23980944,4.41217355,1
region_area_1164,10.48680842,235.8618049,26453.30816,9.243958394,393.0913647,465.8488446,16.08101765,47.51509252,3.804352132,1
region_area_1168,5.473603398,269.287036,14608.66796,5.316551069,,482.9018348,10.68858121,73.22100686,4.957822241,1
region_area_1169,,229.0075501,37861.74482,3.607903469,,545.1913948,17.65043954,64.18628834,5.113869706,1
region_area_1170,6.770926884,232.5919562,26880.52485,4.911050903,285.4906236,485.6539601,14.77044144,60.63077189,4.91053382,1
region_area_1172,,263.2539269,23572.46261,4.67197765,301.4721081,460.0560828,7.195387209,66.14179551,3.09381445,1
region_area_1173,6.320427823,261.0839335,11682.53413,6.663612017,312.5229351,386.0695578,12.078422,63.07546258,4.553380743,1
region_area_1174,9.185417502,216.4153931,18074.2734,7.803507359,,544.8034328,8.294662176,59.77855355,4.186674618,1
region_area_1176,7.961721463,275.0906511,11551.52049,9.18726342,368.2111229,461.913446,15.01619053,79.80203919,2.286943495,1
region_area_1177,5.484151254,247.5651419,19378.66388,4.698920011,296.3361319,358.5040333,18.81887553,76.52915276,4.43885846,1
region_area_1178,7.186931122,228.2604239,34511.05781,4.679621209,296.5792641,488.0999918,16.88254027,62.87189059,4.275645348,1
region_area_1179,5.470802484,263.9343691,18295.67573,5.738584827,,328.0534586,13.89426724,49.75745119,2.962852429,1
region_area_1180,,245.7934598,17382.73218,6.732017695,329.8728516,393.8999028,11.25208534,91.00190843,3.843405196,1
region_area_1182,3.637170625,289.717635,10102.79453,7.227381345,338.2795386,519.2553233,13.92345025,49.76783414,5.446565703,1
region_area_1183,7.064789081,239.1656159,20567.45074,7.138432578,361.0680894,667.0291278,16.37983066,84.9421826,4.401627835,1
region_area_1184,6.632031569,252.4438238,24161.55979,7.659714504,370.3666986,356.9654045,17.13860168,61.32046989,3.38629429,1
region_area_1186,9.484703254,173.6808814,56351.70111,3.914899912,220.29855,490.9530635,13.63843295,41.84621923,4.132274238,1
region_area_1188,7.727421141,278.6166102,18768.24645,9.412097508,,338.959169,8.338404554,66.79321371,4.60180209,1
region_area_1189,6.859323726,229.8426962,27567.68048,5.580746858,228.0935735,401.704708,14.7755549,83.58493431,4.501980015,1
region_area_119,7.812804388,247.3577767,42551.14663,7.029837019,,452.6507745,14.77191724,,6.204846359,0
region_area_1190,5.846786697,262.9359342,19418.07202,8.137222983,,404.0578205,17.66693335,49.50336175,3.371110881,1
region_area_1191,6.300001767,223.1241718,40682.44881,3.938018287,303.3569716,495.7774565,18.84293089,64.92354586,3.709437181,1
region_area_1192,6.646469922,302.6101389,5517.179763,10.83829897,,349.3137033,12.0354333,76.63927003,4.387601742,1
region_area_1193,7.313446756,209.4813625,23154.36713,3.838518763,277.2952745,446.6222742,10.99508481,88.02753015,2.220639923,1
region_area_1194,6.572656389,243.4212243,14599.25672,5.859810667,314.8851693,354.0002418,17.44880558,53.20048042,2.820927249,1
region_area_1196,,263.6830225,14102.1741,8.807673994,389.5328978,347.2960833,8.707425359,74.69671128,3.62463525,1
region_area_1197,5.93605711,273.6961975,18062.00238,9.677912917,422.4671377,333.6042313,14.40352082,51.98388451,3.940282339,1
region_area_1198,7.591089848,246.439691,17444.97621,5.002260254,,527.3083081,14.90455298,85.89078436,4.531196013,1
region_area_1199,6.875746152,242.7975501,25422.64336,7.266549317,,511.710982,10.89096494,68.40961682,3.397302572,1
region_area_120,6.877456933,187.6531046,27433.8921,6.786710893,308.1422015,352.3013466,18.50884583,81.30841217,3.827650072,0
region_area_1200,8.016279103,261.8031945,14034.79061,9.492188894,390.083909,501.1840821,14.61799105,35.68096645,4.308222881,1
region_area_1201,8.783596632,250.7041691,19471.77025,7.110594911,320.4821225,335.0420292,16.41669636,74.6855808,3.470885424,1
region_area_1202,6.911698241,229.9875649,25612.45372,6.919899554,319.7330268,308.655513,11.96390453,94.45517213,4.616641008,1
region_area_1203,8.719240207,231.7869909,17431.22453,7.116399292,,299.3077406,14.53222549,55.50861301,3.912836037,1
region_area_1204,5.974583248,247.8766153,22543.5611,5.357846626,339.1026396,420.9091321,11.27409021,59.94143938,3.721974696,1
region_area_1206,,185.4531473,30212.1378,4.487550391,235.0307346,401.9259641,19.10415352,,3.840888762,1
region_area_1207,,272.4493533,10117.38925,7.721775706,356.9567276,518.3677539,14.16346094,41.03181073,3.190127771,1
region_area_1209,7.828740105,227.501402,33337.41446,5.133965808,287.7377441,300.2236126,5.976941344,75.82942548,5.199446636,1
region_area_1210,7.949964795,237.5630413,15171.31714,7.528464344,,416.717743,20.64468805,88.17210547,3.31715245,1
region_area_1213,7.139428273,230.0088699,19863.11607,7.807147464,338.6922077,374.6281509,17.48947055,88.47684637,3.771596492,1
region_area_1214,,274.2858691,20134.70315,7.672919497,359.9708173,487.4476562,11.03886725,49.26050435,4.314495017,1
region_area_1215,7.96852587,207.2250395,27008.31669,4.411765887,,465.945428,8.465283485,52.61618739,3.173879163,1
region_area_1216,6.635894308,244.8236707,20339.32168,5.728053284,308.7000155,422.6879888,15.999674,57.7584569,4.523236866,1
region_area_1218,6.280978207,255.8970142,25973.10856,8.113085107,384.4165722,466.6489451,14.05971046,32.91402868,4.599432014,1
region_area_122,,281.5833732,27419.08586,6.831687771,370.055121,284.7655966,9.6835846,72.49190878,4.197595209,0
region_area_1220,5.068795502,262.4633928,22781.66934,5.025312431,317.849016,493.547018,14.60079062,77.32727436,4.362085653,1
region_area_1221,,215.682963,32768.53278,6.004874552,286.3060965,537.303675,15.94830317,59.84317293,3.499453074,1
region_area_1222,8.151248962,256.6211914,15662.24515,6.704626441,336.3678921,565.6952835,14.96613268,72.87758491,2.799883321,1
region_area_1223,7.582941677,235.8198834,23073.08551,5.587462053,298.2508855,528.1535235,12.14345715,80.42755776,4.164028619,1
region_area_1225,7.871961403,270.3965496,12760.74196,7.771802426,360.8317706,360.9319163,15.80372552,84.27308045,2.938536287,1
region_area_1226,5.327023534,283.9144787,13580.92329,7.057600262,357.1653841,448.6584987,10.15477199,55.34727137,4.855821251,1
region_area_1227,10.55027327,235.9397053,32151.2842,8.629155518,,576.4843974,14.38796053,85.50839919,3.951304463,1
region_area_1229,7.47102667,228.0075341,15736.8858,6.573543642,277.8549675,411.7232184,11.39070884,58.35111933,3.70797408,1
region_area_123,7.521051679,317.8335381,26865.67855,10.14463969,,515.8143717,16.34274577,57.15278017,2.880785347,0
region_area_1230,7.943882477,262.5904419,32071.48418,7.464404148,291.0825114,363.4414843,17.9769497,78.60778326,4.111691345,0
region_area_1231,2.69083124,202.5567964,30204.85155,5.748261323,304.4475224,387.303273,14.22604923,45.71799204,4.650033779,0
region_area_1232,9.13569426,245.5895091,9497.215164,5.881114499,346.4593189,572.8764671,13.78143542,74.53916646,3.281802196,0
region_area_1233,5.214009194,243.4227369,34184.61321,5.478546765,283.7149917,390.5334147,15.97275076,80.61349792,4.453525556,0
region_area_1234,8.649534947,226.2005605,9898.327019,5.743593204,337.2227292,420.730098,10.17425422,,5.229809193,0
region_area_1235,7.75667895,237.4603496,22440.70585,7.157802711,343.744496,331.0359663,19.67757183,,2.842470708,0
region_area_1236,7.104295204,228.3456343,12691.82078,6.866166367,,457.1372886,14.48176427,60.85876989,5.464856803,0
region_area_1239,6.810466517,260.5094494,32602.64489,7.117970415,341.9193825,350.1350886,16.84174859,42.46446082,4.402339513,0
region_area_1241,5.574116595,243.9319671,17546.70807,8.915162624,366.9425316,548.6375178,14.05633161,67.25703261,5.152527698,0
region_area_1242,8.555283423,267.4292466,18337.76573,7.985877604,312.0709582,401.0480887,17.24383102,39.89228179,3.687152068,0
region_area_1245,7.138374317,235.5191195,22575.49339,6.602903877,,514.9706928,18.60876189,66.25198819,4.144872251,0
region_area_1246,,222.3661272,14785.06047,7.099771881,352.6206207,376.7745125,10.60930338,57.97715685,3.210168089,0
region_area_125,10.30847766,267.9936371,27653.54,8.60745572,370.2763195,393.0565048,6.685401551,59.69103991,3.285077052,0
region_area_1250,5.271971378,243.9434002,22005.74136,5.879139411,268.570761,361.5852796,15.76938186,68.73087629,4.119436475,0
region_area_1251,6.465093529,292.0420284,43958.98294,7.115344233,306.7655059,554.7055667,20.87398639,89.76150592,3.790523693,0
region_area_1252,8.245186596,250.0796649,13909.78388,9.064831167,406.7927221,433.8417843,14.90632901,97.39200425,4.125731794,0
region_area_1254,6.704791892,227.6699235,28141.07297,6.637296135,,466.077627,16.14097988,40.19111273,3.806596292,0
region_area_1255,6.430254786,258.353293,26855.41042,6.783099342,304.9185472,428.5244715,18.02614094,34.93139772,4.805791534,0
region_area_1256,7.482791276,236.8673231,19621.62992,7.867054829,369.9359912,485.3164605,12.23225392,105.2807993,4.094746286,0
region_area_1257,5.504452321,215.2748748,11950.53984,6.496147048,302.9356076,547.6446091,14.49886904,70.05482216,4.657360934,0
region_area_1258,7.521920636,249.1285171,20139.73516,6.872844368,,613.1599559,13.87860984,84.93177108,3.110932391,0
region_area_1261,5.694475546,244.2060209,18743.23003,6.251857824,327.7474838,458.8591508,13.728308,56.44149662,4.107467119,0
region_area_1265,5.689142988,232.3584558,17589.5738,6.933659696,351.5271956,355.6413659,16.13529306,,4.592979951,0
region_area_1266,,249.8385627,39928.04186,5.149240367,259.755058,268.0681542,14.34971959,52.73138696,4.059377404,0
region_area_1269,3.846814328,241.7667637,26895.56277,5.324725326,,670.3599463,18.2302019,78.26857516,3.584201916,0
region_area_127,7.371085073,258.4907151,24914.14198,9.311519816,363.0452932,373.2735384,11.64766178,67.83570438,4.412589537,0
region_area_1270,5.896339346,229.4519844,17420.39196,4.987351798,,483.7916933,16.54271518,79.58617721,5.032854921,0
region_area_1272,8.326349854,264.6487486,35478.07145,8.059320399,347.5321157,579.2082945,17.5714673,62.90790484,4.395284863,0
region_area_1274,5.548124947,267.7921502,34007.07356,6.342614607,332.1480602,440.3746637,15.75203607,65.09564195,4.599235865,0
region_area_1277,7.262534652,263.2951986,38713.4175,5.53299658,262.8401354,342.5302243,14.20378574,70.41574088,4.846359372,0
region_area_1278,6.257085791,231.1801013,13826.56272,6.770320006,347.3725806,432.7053747,11.94310568,77.95321185,3.994713697,0
region_area_1279,7.025504335,256.1744198,21884.84333,6.971254297,305.4773166,452.5105402,15.94874365,65.69533765,2.941555123,0
region_area_128,11.18069466,279.074751,16600.69756,5.789189909,,514.1555391,15.14004691,110.8542993,3.809841654,0
region_area_1281,6.565633547,210.5032534,19044.98488,6.38840316,284.259785,403.7301725,18.31213697,67.1691187,2.770948497,0
region_area_1282,6.622102936,247.6649519,16010.82896,6.951260571,,274.3889334,14.51595247,45.56377694,5.290920716,0
region_area_1283,7.217392781,230.9681115,13579.85939,5.68831575,318.7085169,432.0685385,12.47533861,63.56174913,3.746619824,0
region_area_1284,5.253907429,242.7559378,34794.15812,5.512593675,,405.8182588,12.67571518,55.08373439,3.488372514,0
region_area_1285,8.131375234,227.8692032,13238.37511,6.373929994,,460.8233341,20.70857442,85.22089203,3.542810748,0
region_area_1286,6.61977546,201.4922521,11388.839,6.502769513,371.498582,441.535087,7.815769288,73.74927763,4.086920567,0
region_area_1287,,257.0922332,18752.57449,7.897642404,345.3347414,520.5928798,5.467370906,62.02636409,3.293552631,0
region_area_1289,5.019984767,207.7447124,19273.00929,5.879899041,332.304958,351.4621602,16.30157332,75.41759769,4.089485428,0
region_area_129,6.506487767,253.0598286,17087.38171,5.897172146,327.4074815,491.8769343,16.64018593,46.32074791,3.548775589,0
region_area_1291,6.313114732,213.1103027,20849.49555,6.781658316,,398.0627162,15.15259327,84.03629212,4.126964596,0
region_area_1292,,230.0940135,5075.574012,8.432972329,456.1963469,402.4587323,16.94433062,76.35862277,4.397533101,0
region_area_1295,8.015780395,230.8342678,12136.02974,5.954565523,310.8137941,676.7956183,17.7651492,66.70384906,3.180580187,0
region_area_1296,4.249890379,219.3460368,16073.97543,5.056084942,262.0128198,459.1565158,11.45421023,87.06189686,4.116347641,0
region_area_1297,4.26526964,250.2733422,25634.83809,5.610073817,261.0063188,310.6529288,12.3037325,56.05736583,4.900446069,0
region_area_13,,200.9488141,27331.66677,6.53341285,300.1608945,389.8668348,19.47580718,76.62499553,4.413974183,0
region_area_1300,7.086877326,243.1612582,25525.12828,7.049224373,323.4851443,559.022718,14.62940807,64.23939071,3.992848211,0
region_area_1304,7.34303194,249.3046603,14037.34474,5.483535797,,489.3464672,11.19537421,61.21524017,5.288057554,0
region_area_1305,4.616438934,243.3479006,14982.61029,5.775218435,,354.2513212,11.19500575,88.59858348,2.634341021,0
